;;;Intercept.obs;Slope.obs;p.site.shuffle.i;p.site.shuffle.s;p.trait.shuffle.i;p.trait.shuffle.s;Statistic;p.value;p.BM
1;1;AR;71.229;-2.385;0.133;0.993;0.761;0.753;0.495;0.009;NA
2;2;WL;13.322;0.188;0.536;0.407;0.636;0.497;0.997;0.001;NA
3;3;WTr;13.020;-2.418;0.037;0.983;0.499;0.758;1.467;0.001;NA
7;4;FWL.af;-2.488;7.680;1.000;0.001;0.738;0.008;0.639;0.006;NA
4;5;FW.HW;121.096;-3.496;0.049;0.998;0.557;0.845;1.350;0.001;NA
5;6;TDM;6.635;2.733;0.989;0.006;0.766;0.213;0.852;0.001;NA
9;7;AM.af;-1.859;-1.978;0.035;0.974;0.738;0.722;0.329;0.463;NA
10;8;TM.af;3.657;-1.396;0.091;0.902;0.084;0.692;0.602;0.030;NA
6;9;Host;-5.893;1.806;0.955;0.037;0.944;0.289;0.278;0.727;NA
8;10;FEA.af;-1.325;4.225;0.999;0.001;0.630;0.091;0.414;0.087;NA
12;11;Iridescence;-2.727;2.033;0.964;0.028;0.754;0.298;0.233;0.001;0.187
13;12;Eyespots;-0.002;-3.117;0.004;0.997;0.556;0.819;0.089;0.038;0.702
14;13;Rings;-3.302;-0.436;0.348;0.657;0.832;0.542;0.218;0.002;0.207
15;14;Disruptive;-7.807;4.237;0.999;0.001;0.998;0.114;0.243;0.002;0.205
16;15;Criptic;6.148;-1.823;0.037;0.965;0.045;0.720;0.319;0.002;0.142
11;16;Darkness;0.998;2.564;0.993;0.009;0.550;0.235;0.208;0.020;0.253
